Consumer-ID,UI,UX,Download-importance,Dark-Light,Logo-importance,Notifications
204,5,5,5,4,4,5
203,5,4,5,5,3,3
202,3,3,4,2,1,3
201,3,3,5,2,4,4
200,4,4,4,5,4,2
199,5,4,2,2,4,4
198,4,3,4,5,3,4
197,4,5,4,1,3,5
196,4,4,5,4,2,4
195,4,4,5,1,3,5
194,4,4,3,2,3,4
193,5,3,5,4,3,3
192,3,4,4,3,3,3
191,5,5,4,1,3,5
190,5,5,5,2,4,4
189,3,3,5,1,1,5
188,1,1,1,2,3,4
187,5,4,4,3,2,5
186,5,5,3,1,2,3
185,4,4,4,1,3,4
184,4,5,5,1,3,4
183,2,5,5,1,1,4
182,5,5,2,3,3,4
181,4,5,5,1,2,5
180,5,4,4,4,4,3
179,5,4,5,2,3,5
178,5,4,5,1,3,4
177,5,4,5,2,1,5
176,4,5,4,4,3,4
175,4,4,3,5,3,2
174,4,4,4,2,3,4
173,5,3,5,5,3,4
172,5,4,5,2,5,5
171,4,4,5,1,4,3
170,5,4,4,4,3,4
169,5,4,4,3,3,3
168,4,5,5,2,2,5
167,4,4,3,3,4,2
166,4,4,5,3,3,4
165,4,5,3,1,3,5
164,5,5,5,5,3,3
163,5,5,4,3,3,4
162,5,4,5,3,1,5
161,5,5,5,5,1,5
160,4,4,4,5,4,2
159,4,5,5,3,4,3
158,2,2,3,1,2,3
157,4,4,4,4,4,5
156,4,4,4,4,5,4
155,4,4,3,5,3,4
154,4,3,5,1,4,5
153,5,4,4,4,3,3
152,5,5,5,5,5,5
151,5,4,5,1,2,5
150,5,5,5,1,3,4
149,4,5,4,1,3,3
148,4,3,4,3,2,4
147,5,5,4,1,1,5
146,4,4,3,5,2,4
145,3,4,5,5,2,2
144,5,4,4,3,4,5
143,3,3,5,4,2,2
142,4,4,4,2,2,4
141,4,4,5,4,2,5
140,3,3,4,4,4,3
139,4,3,5,5,3,4
138,4,4,5,3,3,3
137,4,4,3,1,2,3
136,4,3,4,3,3,4
135,3,4,5,4,3,4
134,5,3,5,2,3,4
133,4,5,5,5,3,5
132,5,5,4,2,3,4
131,4,4,5,5,4,3
130,4,5,3,5,2,2
129,5,5,5,1,5,5
128,4,4,4,1,2,5
127,5,5,5,5,3,4
126,3,3,5,4,3,4
125,5,5,5,3,2,5
124,3,3,5,3,3,4
123,4,5,4,3,3,5
122,4,4,4,5,4,4
121,3,3,5,3,3,4
120,4,4,4,1,3,3
119,5,5,5,5,3,3
118,4,3,5,5,3,5
117,1,1,5,5,1,5
116,5,4,4,1,4,5
115,4,4,5,4,3,4
114,5,5,4,1,3,4
113,5,5,4,5,3,3
112,3,4,5,1,3,5
111,4,4,4,4,3,5
110,5,4,3,4,3,4
109,5,5,4,2,3,3
108,5,3,2,3,2,4
107,4,4,4,4,3,4
106,3,4,5,5,4,4
105,3,4,5,4,3,5
104,5,3,5,1,5,5
103,4,3,5,2,1,5
102,5,5,2,3,1,4
101,5,4,5,1,4,4
100,4,5,5,3,3,3
99,4,4,4,4,3,5
98,5,5,4,4,3,3
97,4,4,4,2,3,4
96,4,3,5,5,3,3
95,4,5,5,1,3,4
94,5,4,5,5,3,5
93,3,3,4,5,2,5
92,3,4,5,1,3,4
91,4,5,5,4,3,3
90,4,5,4,2,4,3
89,4,4,5,1,2,4
88,3,3,4,4,2,2
87,4,4,5,5,3,4
86,3,3,5,3,2,3
85,5,3,5,5,1,3
84,3,4,5,5,3,2
83,3,4,5,5,4,2
82,4,4,4,3,3,4
81,4,3,4,2,4,2
80,5,5,3,1,3,5
79,3,3,4,4,3,4
78,4,5,5,4,3,4
77,5,4,4,3,4,5
76,5,5,5,3,3,3
75,4,4,4,4,4,4
74,4,4,4,4,2,5
73,5,5,4,5,3,5
72,4,4,4,4,1,4
71,4,4,4,4,3,4
70,3,4,5,4,3,4
69,4,5,4,5,3,5
68,4,3,4,4,3,2
67,3,2,4,4,2,3
66,5,4,5,5,3,5
65,4,3,5,1,3,2
64,4,4,4,3,3,3
63,4,5,5,3,1,4
62,1,3,1,5,3,3
61,5,3,5,3,4,5
60,5,5,5,3,3,4
59,3,4,5,2,3,4
58,4,4,5,3,2,4
57,5,5,5,4,3,3
56,5,4,5,5,5,5
55,5,4,5,2,1,4
54,4,4,4,3,3,3
53,4,1,5,5,1,5
52,3,4,5,4,3,3
51,4,4,2,4,3,3
50,4,5,4,3,3,4
49,4,4,5,1,3,3
48,1,1,1,1,5,4
47,4,4,5,2,2,4
46,5,3,4,1,2,3
45,5,4,5,3,1,4
44,5,5,3,4,4,3
43,5,5,4,3,3,4
42,4,5,5,4,2,5
41,4,5,2,1,2,5
40,5,5,5,3,3,2
39,4,4,4,3,2,5
38,1,5,5,3,1,4
37,5,5,4,3,4,5
36,4,4,5,5,3,4
35,4,4,5,2,4,1
34,4,3,5,3,4,4
33,5,4,2,4,2,4
32,1,3,5,5,2,5
31,5,4,5,1,2,5
30,5,5,5,1,4,5
29,5,5,5,5,5,5
28,4,4,4,1,4,5
27,3,5,5,4,1,3
26,5,4,5,2,4,3
25,5,3,4,4,3,5
24,3,3,4,2,2,5
23,4,4,3,2,3,4
22,5,3,5,2,4,5
21,5,5,3,1,3,5
20,4,3,4,1,2,5
19,5,5,5,2,4,4
18,5,5,5,5,3,5
17,4,5,5,3,4,4
16,4,4,5,5,1,3
15,3,3,4,4,3,5
14,3,4,5,5,3,3
13,5,5,5,3,3,4
12,4,5,3,3,3,4
11,4,5,5,1,3,4
10,5,4,3,1,2,3
9,5,5,5,3,4,3
8,5,5,5,4,2,4
7,4,4,5,3,2,3
6,5,5,2,2,3,5
5,4,4,4,3,4,3
4,4,4,5,2,4,4
3,5,5,5,3,3,4
2,4,4,4,1,3,4
1,4,4,5,3,3,3
