Consumer-ID,Local-community,Local-events,Local-culture-experience,Historical-aspects
142,2,2,3,2
141,3,2,3,4
140,5,3,5,3
139,4,5,5,4
138,3,3,4,4
137,4,3,4,4
136,3,3,3,3
135,5,5,5,4
134,3,2,3,3
133,5,5,4,4
132,3,2,3,3
131,4,4,4,3
130,4,3,4,4
129,5,5,5,5
128,4,4,4,4
127,5,5,5,4
126,5,3,4,5
125,5,5,5,5
124,5,3,4,4
123,3,4,4,3
122,5,4,5,4
121,4,3,5,3
120,5,5,5,4
119,4,2,4,1
118,4,5,4,4
117,3,3,3,3
116,5,3,5,5
115,5,5,4,3
114,5,5,5,5
113,5,4,5,3
112,4,4,4,4
111,3,2,3,3
110,4,4,4,4
109,4,3,4,4
108,5,4,4,4
107,5,3,5,5
106,4,4,5,4
105,5,5,5,5
104,5,5,5,2
103,5,3,5,4
102,4,4,4,4
101,5,4,4,4
100,3,4,3,2
99,5,5,5,4
98,5,5,5,5
97,4,4,4,4
96,5,4,5,5
95,5,4,4,4
94,5,5,5,4
93,3,3,3,4
92,4,4,4,4
91,4,3,4,5
90,4,3,4,4
89,5,5,5,5
88,4,3,3,4
87,5,4,5,3
86,5,4,5,4
85,4,3,4,4
84,4,2,4,2
83,5,5,5,5
82,4,3,4,4
81,5,5,5,5
80,5,4,5,5
79,4,3,3,5
78,5,4,4,4
77,5,4,4,4
76,4,3,4,4
75,4,4,4,3
74,4,4,4,4
73,4,4,5,4
72,4,4,4,4
71,3,3,3,3
70,4,4,4,4
69,5,5,5,5
68,4,3,5,3
67,4,4,4,4
66,4,4,4,4
65,5,4,5,5
64,5,4,5,5
63,4,4,4,4
62,5,4,5,4
61,5,5,5,5
60,4,4,4,4
59,5,5,5,5
58,5,5,5,5
57,5,4,4,5
56,5,4,4,5
55,4,3,4,5
54,5,5,5,4
53,5,4,5,4
52,5,3,5,4
51,5,4,5,4
50,4,3,5,5
49,4,3,3,3
48,1,1,3,4
47,5,4,5,4
46,5,4,4,4
45,3,4,4,3
44,4,4,5,4
43,3,1,4,4
42,4,5,3,4
41,4,4,4,4
40,4,4,4,5
39,4,4,4,5
38,4,4,4,4
37,5,5,5,4
36,5,5,5,4
35,5,4,4,4
34,4,3,4,4
33,4,3,4,3
32,4,2,4,1
31,5,5,5,5
30,5,5,5,5
29,5,4,5,4
28,4,3,4,4
27,4,4,4,4
26,5,2,5,3
25,5,4,4,4
24,5,5,5,5
23,5,5,5,5
22,1,1,2,1
21,5,4,5,4
20,5,4,4,5
19,4,4,4,5
18,4,4,4,4
17,4,2,4,5
16,3,3,5,3
15,4,3,4,2
14,4,4,5,3
13,5,5,5,5
12,5,5,5,5
11,5,4,5,5
10,4,3,4,4
9,3,4,3,2
8,5,5,5,5
7,5,5,5,4
6,5,3,5,4
5,4,4,4,4
4,4,3,4,5
3,1,1,1,1
2,5,3,5,5
1,4,4,4,4
