Consumer-ID,Every-day-Posting,Travel-for-account-promotion,Travel-influ-posting,Posting-during-travel,My-posting-influence-travel,I-know-where-to-travel,Search-for-travel-media,Media-are-suffic,UGC-travel-suff,Media-important-for-travel-search,I-would-use-travel-app,I-use-travel-portals,I-traveled-to-place-from-social-media,Adverts-on-trip,I-use-travel-apps,I-will-share-photos-during-trip,I-can-create-travel-plan,There-is-need-of-travel-service
142,1,4,4,3,2,2,2,3,5,4,4,2,2,2,1,4,3,4
141,1,2,2,3,5,5,4,4,5,4,5,3,2,2,3,2,5,4
140,1,4,4,4,4,5,4,3,4,4,4,3,4,2,2,4,4,4
139,2,3,3,4,4,5,4,4,4,3,4,4,3,5,2,3,4,5
138,1,2,2,4,2,4,4,3,4,4,4,3,4,3,2,2,2,4
137,2,2,2,4,4,4,3,2,3,3,4,2,4,2,2,2,3,4
136,1,1,1,2,2,1,4,4,4,3,3,1,3,3,2,1,2,3
135,2,3,3,3,4,4,2,3,4,4,4,4,4,4,4,3,2,2
134,1,1,1,1,4,1,1,1,1,3,3,1,1,1,1,1,1,3
133,3,4,3,3,4,3,3,3,3,2,4,4,3,4,4,2,2,3
132,1,1,1,4,4,2,2,1,2,2,4,2,2,4,4,1,3,4
131,1,2,1,4,4,3,4,4,4,3,4,3,4,4,2,1,3,4
130,2,2,2,3,4,3,2,2,2,4,4,3,3,4,4,2,2,4
129,1,1,1,2,4,2,2,2,2,2,4,2,2,3,5,1,4,3
128,2,3,4,4,5,5,5,4,5,4,4,4,4,4,4,4,4,4
127,1,1,1,4,4,5,4,3,4,4,5,4,4,4,3,1,4,4
126,1,2,3,4,3,4,4,4,2,4,3,2,4,4,3,2,2,3
125,1,1,3,2,4,2,3,2,3,4,4,2,4,4,2,3,2,3
124,1,1,1,3,4,4,5,4,4,4,4,4,4,2,2,1,4,3
123,1,3,4,4,4,4,3,3,4,4,4,2,4,2,2,4,3,4
122,1,4,3,3,4,3,2,2,4,3,4,4,4,4,3,3,3,3
121,1,1,2,3,3,4,4,3,4,2,3,2,3,2,2,2,2,3
120,1,1,1,4,3,2,2,3,4,4,4,3,3,3,3,2,3,3
119,1,1,1,4,3,4,2,2,4,3,4,4,4,3,3,1,2,3
118,3,4,5,3,4,5,5,4,5,5,5,4,3,4,4,5,4,5
117,1,1,1,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3
116,1,1,1,5,3,1,1,1,3,4,5,3,3,2,1,1,1,4
115,1,1,1,3,4,4,1,1,3,5,5,1,1,1,1,1,1,5
114,1,1,1,4,5,5,2,2,4,4,5,5,4,4,5,1,4,4
113,1,2,3,4,5,4,3,1,1,2,5,4,1,3,1,4,5,5
112,1,1,1,1,5,3,3,1,1,3,3,4,3,2,3,1,5,3
111,1,1,2,3,3,2,2,1,1,1,3,1,1,1,1,1,4,1
110,1,1,2,3,3,4,3,3,3,3,4,3,3,3,2,1,3,3
109,2,4,4,4,4,4,2,2,4,4,5,4,2,3,2,4,4,4
108,1,3,3,3,5,4,2,3,4,4,4,4,4,4,4,3,4,3
107,1,1,1,3,4,2,1,1,2,2,4,2,2,2,2,2,2,3
106,1,1,1,3,4,3,2,2,3,4,3,2,2,2,2,2,2,2
105,1,1,1,3,4,3,1,1,3,2,3,3,3,5,3,1,3,3
104,3,5,4,4,4,5,5,4,5,4,5,2,3,4,4,4,4,4
103,1,2,4,3,4,4,4,3,4,4,4,3,2,4,4,4,4,4
102,2,2,2,3,4,3,3,2,3,3,4,4,3,3,4,2,4,3
101,1,1,1,2,4,4,3,4,4,4,4,3,4,3,3,3,4,4
100,2,2,1,3,3,4,3,4,4,4,4,3,4,3,2,2,4,4
99,1,1,1,4,4,1,1,3,4,3,3,4,4,4,3,1,4,1
98,1,1,1,3,4,2,1,2,3,3,4,4,3,4,3,1,3,4
97,1,3,2,4,5,5,4,2,5,2,3,4,5,2,3,1,4,4
96,1,1,1,4,4,2,2,1,1,2,4,5,2,2,2,1,3,3
95,2,2,1,3,4,3,2,2,3,4,5,4,3,4,4,1,4,4
94,2,3,3,3,4,4,3,2,4,4,4,3,4,3,2,3,3,4
93,2,3,5,4,4,4,4,3,3,4,4,4,4,3,2,2,4,4
92,2,4,2,3,4,4,3,2,4,3,4,4,4,4,2,3,4,4
91,1,1,1,2,3,2,4,2,2,3,4,2,2,3,2,1,4,2
90,2,3,4,4,4,5,4,4,5,4,4,4,4,5,3,4,3,3
89,2,4,4,5,4,4,4,4,4,5,5,5,5,4,2,4,4,5
88,2,2,2,2,3,2,2,1,2,4,3,2,3,3,2,1,3,4
87,1,1,1,3,4,3,2,2,3,3,4,3,2,2,2,1,4,3
86,1,1,1,4,4,3,2,1,3,3,4,1,3,3,4,1,3,4
85,1,2,2,4,4,3,2,3,4,4,5,3,4,4,3,2,3,4
84,1,4,4,4,4,4,2,2,2,3,5,4,2,4,1,4,2,4
83,2,2,1,3,5,3,2,1,2,3,4,4,3,4,4,2,4,4
82,1,1,3,4,4,2,3,2,4,4,4,2,4,3,2,2,4,4
81,1,4,4,4,5,4,4,2,3,3,4,4,4,4,4,3,4,4
80,1,1,1,5,3,2,1,1,4,3,4,3,4,3,3,1,3,3
79,1,1,1,3,4,1,2,2,4,4,3,1,1,3,1,1,3,3
78,1,1,1,4,4,4,4,2,3,4,4,3,3,3,3,3,3,4
77,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,5,4
76,1,4,3,5,5,4,4,2,4,4,4,4,4,2,2,3,2,4
75,2,4,3,4,4,4,3,4,4,4,4,4,3,4,2,3,3,3
74,2,2,3,3,4,4,2,2,2,4,3,3,3,3,3,2,2,3
73,1,1,1,4,5,4,4,4,4,4,4,3,4,3,4,2,3,4
72,1,1,1,3,4,4,4,4,4,4,5,4,3,4,4,1,3,3
71,3,3,3,3,4,3,3,3,3,3,3,3,2,4,2,3,4,3
70,3,1,5,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4
69,1,1,1,1,5,1,1,1,1,4,4,2,4,2,2,1,4,4
68,2,4,4,4,4,3,2,2,4,4,4,4,4,4,1,4,2,4
67,1,1,1,4,4,4,4,1,4,1,4,1,1,1,1,1,1,4
66,1,1,1,4,4,4,2,2,4,4,4,2,4,3,2,2,2,3
65,1,1,1,3,4,1,1,1,1,3,4,1,2,2,3,1,2,3
64,1,1,4,3,4,5,4,4,4,4,4,4,3,4,3,3,4,3
63,3,2,2,4,3,4,2,2,3,4,3,3,2,4,3,2,3,4
62,1,1,1,2,4,3,2,3,2,3,4,3,4,3,4,1,2,3
61,1,2,3,4,5,5,4,4,4,4,4,3,3,3,4,2,4,4
60,1,1,1,4,2,4,2,2,4,4,4,2,3,3,2,1,4,4
59,1,3,4,4,4,4,2,2,4,3,4,4,4,3,3,4,4,3
58,1,1,1,4,5,4,2,2,5,3,4,5,4,2,4,1,3,4
57,1,2,2,3,4,4,4,2,4,4,5,4,4,5,4,2,5,3
56,1,1,3,4,4,4,4,3,3,4,4,4,4,3,2,2,4,4
55,4,5,5,5,4,4,2,2,4,4,4,4,4,4,2,5,4,4
54,1,4,4,3,4,4,3,2,4,4,5,3,4,4,3,4,3,5
53,2,4,4,4,4,4,4,2,4,4,4,3,4,4,2,5,4,4
52,1,4,5,5,4,2,2,2,3,5,5,3,1,5,2,3,3,5
51,3,4,5,5,3,4,2,2,4,5,5,4,3,3,2,5,3,5
50,1,4,4,2,2,2,4,4,4,3,4,2,2,2,2,4,2,2
49,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
48,1,1,1,1,4,1,1,1,2,4,2,4,1,1,1,1,4,2
47,2,2,3,4,3,5,5,4,5,4,4,3,4,4,5,2,5,4
46,1,4,4,4,4,5,4,4,4,4,4,3,4,2,2,4,4,4
45,1,4,4,4,3,4,3,4,4,4,4,2,4,2,2,5,3,3
44,1,1,2,4,4,2,2,1,3,3,4,2,2,2,3,2,4,3
43,4,1,2,4,3,4,4,2,4,3,2,3,2,4,3,1,1,1
42,2,4,4,4,5,4,2,3,4,5,4,4,4,4,3,4,2,4
41,1,4,3,4,2,4,2,2,4,4,5,3,4,4,3,4,2,4
40,1,1,3,2,2,3,3,3,4,4,4,2,3,2,1,4,4,4
39,2,4,4,4,2,4,4,2,4,5,4,3,4,3,3,4,3,4
38,2,4,5,4,4,4,2,2,5,3,4,4,3,2,2,2,5,4
37,1,1,1,4,3,4,5,2,5,5,5,4,4,3,2,2,2,5
36,1,4,2,4,4,3,4,4,4,2,5,4,5,4,4,2,4,5
