Consumer-ID,Stick-budget,Sea-view,Budget-for-apartament,Budget-for-culture,Only-Restauratns,Spontanous-buying,BudgetTrip2024,Most-expensive-trip
142,5,4,2,4,5,5,10000,15000
141,2,3,4,3,2,4,3500,2200
140,2,3,2,3,2,4,3000,5000
139,4,4,2,5,3,4,3500,4500
138,4,2,2,4,2,4,3000,1500
137,3,4,2,2,4,4,4000,8000
136,2,2,2,2,1,4,4000,4700
135,3,3,2,4,3,4,9000,24000
134,3,4,3,3,3,4,5000,10000
133,4,2,2,4,2,4,2500,3000
132,3,4,3,3,4,4,5000,2000
131,3,3,1,4,4,3,3000,5000
130,4,3,3,3,3,4,4000,5000
129,3,4,2,4,2,4,3000,6000
128,3,5,4,3,1,4,8000,8000
127,2,3,3,2,2,4,3300,6500
126,2,2,2,5,2,4,4000,6000
125,4,4,3,4,2,4,4500,7500
124,2,4,2,4,4,1,6000,3000
123,2,4,4,3,4,4,6000,25000
122,4,2,2,4,2,3,4000,25000
121,2,3,3,4,2,3,10000,50000
120,3,4,3,4,3,4,4500,3000
119,4,3,2,4,2,3,5000,10000
118,2,5,4,3,4,4,5000,10000
117,3,4,3,2,2,2,3500,5000
116,4,4,3,3,4,3,5000,2000
115,3,5,3,3,2,5,5000,5500
114,3,2,1,5,2,5,2000,3000
113,1,5,1,4,2,5,3500,6000
112,3,4,2,3,2,4,7000,6000
111,5,4,2,4,1,4,6000,7500
110,3,3,3,4,2,3,5000,10000
109,2,4,2,4,2,4,2000,3000
108,4,3,2,5,3,5,6000,8000
107,2,4,2,3,4,4,20000,20000
106,3,4,2,4,2,4,5000,10000
105,4,4,2,3,2,4,5000,20000
104,1,1,2,2,3,3,3000,11000
103,2,5,5,2,3,4,4000,20000
102,3,3,2,4,3,4,5000,25000
101,3,4,2,4,4,4,3500,4000
100,4,4,2,4,2,4,10000,10000
99,4,4,3,4,1,4,3000,14000
98,3,4,2,4,3,1,6000,12000
97,3,3,1,5,5,5,4000,12000
96,3,4,3,3,3,4,4000,5000
95,3,4,3,4,4,4,2500,20000
94,3,4,4,3,3,4,3500,4000
93,4,5,3,2,4,3,5500,7000
92,2,5,2,4,4,5,4000,6500
91,2,5,2,4,2,3,6000,8000
90,2,4,3,3,4,4,6000,5000
89,2,5,2,4,4,3,7000,5000
88,3,3,2,4,2,4,10000,25000
87,4,3,3,4,4,4,2,2
86,4,4,4,3,2,3,5000,7500
85,3,3,3,3,2,4,5000,5000
84,1,2,2,2,2,4,6000,5000
83,4,4,2,5,2,4,3500,3500
82,2,4,3,3,2,4,5000,30000
81,4,4,2,4,2,4,2000,6000
80,2,3,2,3,1,5,5000,6000
79,2,1,1,3,5,5,3000,5000
78,4,3,2,4,2,4,5000,15000
77,4,4,3,4,2,4,2000,500
76,4,2,2,4,2,4,7000,8000
75,4,2,4,2,2,3,3000,3000
74,4,2,2,2,2,2,4000,3000
73,4,2,2,4,2,4,4000,2500
72,3,4,3,3,2,4,3000,10000
71,3,3,3,3,3,3,20000,25000
70,3,4,4,4,3,4,5000,7000
69,5,4,4,4,2,5,6000,7000
68,3,4,3,4,3,5,3500,6000
67,4,4,1,4,5,4,6000,7000
66,4,3,4,2,2,4,4500,3000
65,4,4,2,4,2,4,6000,5000
64,4,4,2,5,2,5,6000,500
63,4,3,3,3,2,4,5000,10000
62,2,3,2,5,4,4,5000,26000
61,2,4,4,3,2,4,5000,20000
60,2,4,3,4,3,4,6000,4000
59,3,4,2,4,3,4,3000,6000
58,2,4,2,5,4,4,5000,30000
57,4,5,3,4,4,2,3500,4000
56,2,2,2,4,3,4,2000,6000
55,2,5,5,2,5,5,4000,20000
