Consumer-ID,Abroad-feeling,Routine-forget,Same-experience-all-the-time,Same-experience-all-the-time-v2,Safety-during-trip,Own-experience
204,5,4,4,4,5,4
203,4,5,2,1,5,2
202,4,4,3,3,3,5
201,5,4,3,5,4,5
200,5,5,5,2,5,3
199,3,3,3,3,3,4
198,4,4,3,3,4,4
197,3,3,3,3,3,3
196,5,5,1,3,4,4
195,5,4,4,3,4,4
194,5,5,2,2,4,4
193,5,5,1,1,3,5
192,5,5,2,2,5,5
191,3,4,2,2,4,3
190,5,5,2,1,4,2
189,3,5,3,3,5,5
188,4,5,4,2,4,4
187,5,5,2,1,3,3
186,4,4,2,2,4,3
185,4,4,2,2,2,4
184,5,5,2,3,5,4
183,4,4,2,2,4,4
182,5,5,1,1,4,5
181,4,4,2,3,4,2
180,5,5,2,1,3,5
179,5,4,4,3,4,4
178,5,4,2,2,4,4
177,5,5,1,5,4,5
176,5,4,2,2,4,2
175,5,4,2,2,4,2
174,5,4,1,1,3,4
173,4,5,1,1,4,4
172,5,5,2,2,5,5
171,4,3,2,3,1,3
170,5,4,3,2,4,4
169,5,5,3,3,5,5
168,5,5,2,2,4,4
167,5,4,1,2,4,3
166,4,5,2,2,4,4
165,5,5,1,1,3,4
164,5,5,1,1,3,3
163,4,4,3,3,4,3
162,5,4,1,1,3,4
161,5,5,5,1,5,5
160,3,4,3,2,5,3
159,5,3,3,2,3,4
158,4,4,4,4,4,4
157,4,4,2,2,4,4
156,3,3,3,3,3,3
155,5,5,2,2,4,4
154,5,5,4,1,5,5
153,5,5,2,2,4,4
152,5,5,5,5,5,5
151,5,4,1,1,4,3
150,5,5,1,1,4,4
149,4,3,3,2,2,3
148,5,5,2,2,4,5
147,4,4,2,1,5,5
146,5,5,1,1,4,4
145,5,5,1,1,5,3
144,5,5,3,1,5,4
143,5,5,3,2,5,2
142,4,4,2,4,4,3
141,4,5,2,2,4,4
140,4,4,4,4,4,3
139,3,3,4,3,5,3
138,4,4,3,2,4,4
137,3,4,3,2,4,3
136,4,4,2,3,4,3
135,4,4,2,2,4,4
134,5,4,1,1,4,4
133,4,5,5,4,5,3
132,5,4,2,2,4,4
131,4,5,4,2,5,3
130,4,4,2,3,4,5
129,5,5,1,1,4,5
128,4,5,4,2,4,4
127,5,4,3,3,4,5
126,3,4,2,3,4,3
125,4,5,2,2,5,3
124,4,4,2,3,5,4
123,5,5,2,1,4,2
122,3,3,3,2,4,3
121,3,3,3,2,4,4
120,5,5,1,1,5,3
119,5,5,2,1,5,5
118,5,5,1,5,4,3
117,5,5,2,2,5,5
116,4,2,2,1,3,5
115,4,4,3,1,4,3
114,4,5,2,1,5,3
113,4,4,1,3,5,5
112,3,4,3,3,4,4
111,4,4,3,3,4,2
110,3,3,1,1,2,4
109,5,5,2,2,4,3
108,4,5,1,1,3,2
107,3,3,2,2,4,4
106,5,4,3,4,5,5
105,4,4,4,4,4,4
104,4,4,2,1,4,4
103,5,5,3,1,3,3
102,5,5,3,2,1,5
101,5,5,1,5,4,5
100,5,4,2,4,5,5
99,5,5,2,2,4,3
98,4,5,3,2,5,2
97,4,4,2,2,4,3
96,5,5,3,2,3,4
95,5,5,2,3,4,3
94,5,5,1,1,5,3
93,3,3,3,3,3,4
92,4,2,2,3,5,5
91,5,5,2,1,4,3
90,4,4,2,3,4,2
89,5,5,2,2,4,3
88,5,5,2,3,4,5
87,4,4,3,2,3,3
86,5,5,2,2,4,3
85,4,4,2,1,4,4
84,4,5,3,5,5,4
83,4,4,5,4,5,4
82,4,4,3,4,4,4
81,4,4,4,3,3,4
80,4,4,3,3,4,4
79,3,4,3,3,3,4
78,5,5,2,2,5,3
77,3,4,3,2,5,3
76,3,3,3,3,3,3
75,4,4,4,4,4,4
74,5,5,1,1,5,2
73,5,5,1,2,5,2
72,4,4,1,2,4,1
71,4,4,2,2,4,4
70,5,5,3,4,4,2
69,5,5,4,3,4,2
68,4,4,2,3,4,3
67,3,4,3,3,5,3
66,5,5,1,1,5,5
65,4,4,3,2,4,4
64,5,5,2,2,4,4
63,5,5,1,1,2,5
62,5,5,3,1,5,3
61,5,5,2,1,5,5
60,5,5,1,1,5,4
59,5,5,3,1,3,4
58,5,5,2,1,4,4
57,5,5,1,1,4,5
56,5,5,2,2,5,1
55,4,2,3,2,2,2
54,4,4,4,4,4,4
53,2,4,2,1,1,1
52,5,5,2,1,5,4
51,5,5,2,2,4,4
50,5,4,1,1,3,4
49,4,3,3,3,3,3
48,5,2,2,2,5,3
47,5,3,1,1,3,5
46,5,5,3,3,4,3
45,4,4,2,2,4,2
44,4,5,1,1,5,3
43,5,5,1,1,4,4
42,5,5,1,1,5,5
41,5,3,1,1,3,4
40,5,5,1,1,4,3
39,5,5,1,1,3,5
38,5,5,1,1,3,3
37,5,5,1,3,2,5
36,4,5,3,4,4,2
35,5,3,1,1,3,4
34,5,5,1,2,2,5
33,4,4,1,1,4,3
32,4,4,3,3,5,5
31,5,5,1,1,5,3
30,4,5,4,1,5,2
29,5,5,3,2,5,5
28,5,5,3,2,5,3
27,4,4,5,3,4,5
26,5,5,3,2,4,4
25,5,3,1,1,3,4
24,4,4,2,3,3,5
23,4,5,2,3,5,3
22,4,4,4,5,5,3
21,3,3,1,4,2,3
20,5,4,2,2,5,5
19,4,5,2,2,4,2
18,5,5,2,2,3,3
17,5,5,1,1,3,4
16,5,5,3,2,4,2
15,4,4,4,3,4,4
14,1,4,5,5,5,3
13,5,5,2,2,4,4
12,4,4,2,1,4,4
11,5,5,2,1,5,5
10,5,5,3,2,3,4
9,4,4,2,1,4,3
8,5,5,2,1,5,4
7,5,5,1,1,4,5
6,5,5,3,3,3,2
5,4,4,2,2,2,4
4,5,5,2,3,4,3
3,5,5,2,3,3,4
2,5,5,1,1,5,4
1,4,4,3,4,4,4
