Consumer-ID,UI,UX,Download-importance,Dark-Light,Logo-importance,Notifications,Local-community,Local-events,Local-culture-experience,Historical-aspects,Every-day-Posting,Travel-for-account-promotion,Travel-influ-posting,Posting-during-travel,My-posting-influence-travel,I-know-where-to-travel,Search-for-travel-media,Media-are-suffic,UGC-travel-suff,Media-important-for-travel-search,I-would-use-travel-app,I-use-travel-portals,I-traveled-to-place-from-social-media,Adverts-on-trip,I-use-travel-apps,I-will-share-photos-during-trip,I-can-create-travel-plan,There-is-need-of-travel-service,Stick-budget,Sea-view,Budget-for-apartament,Budget-for-culture,Only-Restauratns,Spontanous-buying,BudgetTrip2024,Most-expensive-trip,Abroad-feeling,Routine-forget,Same-experience-all-the-time,Same-experience-all-the-time-v2,Safety-during-trip,Own-experience,Cluster
141,4,4,5,4,2,5,3,3,3,3,1,1,1,2,2,1,4,4,4,3,3,1,3,3,2,1,2,3,2,2,2,2,1,4,4000,4700,4,5,2,2,4,4,1
130,4,5,3,5,2,2,5,5,5,5,1,1,3,2,4,2,3,2,3,4,4,2,4,4,2,3,2,3,4,4,3,4,2,4,4500,7500,4,4,2,3,4,5,1
117,1,1,5,5,1,5,4,4,4,4,1,1,1,1,5,3,3,1,1,3,3,4,3,2,3,1,5,3,3,4,2,3,2,4,7000,6000,5,5,2,2,5,5,1
55,5,4,5,2,1,4,4,3,5,5,1,4,4,2,2,2,4,4,4,3,4,2,2,2,2,4,2,2,4,5,3,4,2,2,2500,3000,4,2,3,2,2,2,1
120,4,4,4,1,3,3,5,5,4,3,1,1,1,3,4,4,1,1,3,5,5,1,1,1,1,1,1,5,3,5,3,3,2,5,5000,5500,5,5,1,1,5,3,1
121,3,3,5,3,3,4,5,3,5,5,1,1,1,5,3,1,1,1,3,4,5,3,3,2,1,1,1,4,4,4,3,3,4,3,5000,2000,3,3,3,2,4,4,1
122,4,4,4,5,4,4,3,3,3,3,1,1,1,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,4,3,2,2,2,3500,5000,3,3,3,2,4,3,1
54,4,4,4,3,3,3,4,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,4,4,3,1000,6000,4,4,4,4,4,4,1
124,3,3,5,3,3,4,4,2,4,1,1,1,1,4,3,4,2,2,4,3,4,4,4,3,3,1,2,3,4,3,2,4,2,3,5000,10000,4,4,2,3,5,4,1
125,5,5,5,3,2,5,5,5,5,4,1,1,1,4,3,2,2,3,4,4,4,3,3,3,3,2,3,3,3,4,3,4,3,4,4500,3000,4,5,2,2,5,3,1
126,3,3,5,4,3,4,4,3,5,3,1,1,2,3,3,4,4,3,4,2,3,2,3,2,2,2,2,3,2,3,3,4,2,3,10000,50000,3,4,2,3,4,3,1
53,4,1,5,5,1,5,1,1,3,4,1,1,1,1,4,1,1,1,2,4,2,4,1,1,1,1,4,2,4,1,5,1,3,4,8000,5000,2,4,2,1,1,1,1
49,4,4,5,1,3,3,4,4,5,4,1,1,2,4,4,2,2,1,3,3,4,2,2,2,3,2,4,3,4,3,3,3,2,4,4500,4500,4,3,3,3,3,3,1
115,4,4,5,4,3,4,4,4,4,4,1,1,2,3,3,4,3,3,3,3,4,3,3,3,2,1,3,3,3,3,3,4,2,3,5000,10000,4,4,3,1,4,3,1
48,1,1,1,1,5,4,3,1,4,4,4,1,2,4,3,4,4,2,4,3,2,3,2,4,3,1,1,1,3,3,1,2,4,5,5000,3500,5,2,2,2,5,3,1
134,5,3,5,2,3,4,5,5,5,5,1,1,1,2,4,2,2,2,2,2,4,2,2,3,5,1,4,3,3,4,2,4,2,4,3000,6000,5,4,1,1,4,4,1
135,3,4,5,4,3,4,4,3,4,4,2,2,2,3,4,3,2,2,2,4,4,3,3,4,4,2,2,4,4,3,3,3,3,4,4000,5000,4,4,2,2,4,4,1
136,4,3,4,3,3,4,4,4,4,3,1,2,1,4,4,3,4,4,4,3,4,3,4,4,2,1,3,4,3,3,1,4,4,3,3000,5000,4,4,2,3,4,3,1
137,4,4,3,1,2,3,3,2,3,3,1,1,1,4,4,2,2,1,2,2,4,2,2,4,4,1,3,4,3,4,3,3,4,4,5000,2000,3,4,3,2,4,3,1
139,4,3,5,5,3,4,3,2,3,3,1,1,1,1,4,1,1,1,1,3,3,1,1,1,1,1,1,3,3,4,3,3,3,4,5000,10000,3,3,4,3,5,3,1
142,4,4,4,2,2,4,4,3,4,4,2,2,2,4,4,4,3,2,3,3,4,2,4,2,2,2,3,4,3,4,2,2,4,4,4000,8000,4,4,2,4,4,3,1
143,3,3,5,4,2,2,3,3,4,4,1,2,2,4,2,4,4,3,4,4,4,3,4,3,2,2,2,4,4,2,2,4,2,4,3000,1500,5,5,3,2,5,2,1
45,5,4,5,3,1,4,4,4,4,5,1,1,3,2,2,3,3,3,4,4,4,2,3,2,1,4,4,4,5,5,3,2,3,3,5000,50000,4,4,2,2,4,2,1
147,5,5,4,1,1,5,2,2,3,2,1,4,4,3,2,2,2,3,5,4,4,2,2,2,1,4,3,4,5,4,2,4,5,5,10000,15000,4,4,2,1,5,5,1
116,5,4,4,1,4,5,3,2,3,3,1,1,2,3,3,2,2,1,1,1,3,1,1,1,1,1,4,1,5,4,2,4,1,4,6000,7500,4,2,2,1,3,5,1
112,3,4,5,1,3,5,5,3,5,5,1,1,1,3,4,2,1,1,2,2,4,2,2,2,2,2,2,3,2,4,2,3,4,4,20000,20000,3,4,3,3,4,4,1
152,5,5,5,5,5,5,5,5,5,5,1,1,1,4,3,4,1,1,4,5,4,1,4,1,1,1,1,5,5,1,1,3,1,5,4000,4700,5,5,5,5,5,5,1
92,3,4,5,1,3,4,5,4,5,3,1,1,1,3,4,3,2,2,3,3,4,3,2,2,2,1,4,3,4,3,3,4,4,4,2,2,4,2,2,3,5,5,1
79,3,3,4,4,3,4,4,4,4,4,2,2,3,3,4,4,2,2,2,4,3,3,3,3,3,2,2,3,4,2,2,2,2,2,4000,3000,3,4,3,3,3,4,1
74,4,4,4,4,2,5,5,5,5,5,1,1,1,1,5,1,1,1,1,4,4,2,4,2,2,1,4,4,5,4,4,4,2,5,6000,7000,5,5,1,1,5,2,1
83,3,4,5,5,4,2,5,4,4,4,1,1,1,4,4,4,4,2,3,4,4,3,3,3,3,3,3,4,4,3,2,4,2,4,5000,15000,4,4,5,4,5,4,1
84,3,4,5,5,3,2,4,3,3,5,1,1,1,3,4,1,2,2,4,4,3,1,1,3,1,1,3,3,2,1,1,3,5,5,3000,5000,4,5,3,5,5,4,1
85,5,3,5,5,1,3,5,4,5,5,1,1,1,5,3,2,1,1,4,3,4,3,4,3,3,1,3,3,2,3,2,3,1,5,5000,6000,4,4,2,1,4,4,1
72,4,4,4,4,1,4,4,4,4,4,1,1,1,4,4,4,4,1,4,1,4,1,1,1,1,1,1,4,4,4,1,4,5,4,6000,7000,4,4,1,2,4,1,1
87,4,4,5,5,3,4,4,3,4,4,1,1,3,4,4,2,3,2,4,4,4,2,4,3,2,2,4,4,2,4,3,3,2,4,5000,30000,4,4,3,2,3,3,1
